;;;;;
1U CubeSat ̶  Systems Requirements Specifications;;;;;
;;;;;
R-ID;Requirement Statement;Rationale;Verification Method;Acceptance Criteria;Owner
Mission Requirements;;;;;
MR-001;The system shall autonomously detect and transition through six (6) flight phases: Standby, Launch, Ascent, Cruise, Descent, and Landing.;Core mission objective - demonstrate autonomous phase detection capability during stratospheric balloon flight;Test;"Simulate each phase transition in laboratory environment; verify during balloon flight";FSW + CDH
MR-002;The system shall operate continuously for a minimum of six (6) hours without external power input.;"Typical stratospheric balloon flight duration is 3-4 hours; margin included for delays";Test;Continuous operation endurance test with all subsystems active;EPS
MR-003;The system shall acquire and log sensor data at a rate of at least one (1) Hz throughout the mission.;Sufficient sampling rate for phase detection algorithms and post-flight trajectory reconstruction;Test;"Verify data logging rate during system operation; check for ≥99% sample capture";CDH
MR-004;The system shall transmit telemetry data to a ground station from altitudes up to forty (40) kilometers, corresponding to a worst-case slant range of 125 km assuming 120 km horizontal drift.;"Maximum expected balloon altitude is approximately 30-35 km; enables real-time mission monitoring";Analysis + Test;Link budget showing minimum 10 dB margin at 125 km slant range.;TT&C
MR-005;The system shall store all acquired flight data to non-volatile memory for post-flight retrieval.;Provides backup for telemetry and enables detailed post-flight analysis if real-time link is lost;Test;Verify 100% of logged data is readable from SD card after power cycle;CDH
MR-006;The system shall fit within a 1.5U CubeSat form factor of 100 mm × 100 mm × 170 mm.;Integration constraint for balloon payload bay mounting and CubeSat standard compliance;Examination;Physical dimensional measurement of assembled system;Structure + All
MR-007;"The system shall survive environmental conditions including temperature range of -60°C to +40°C and pressure down to 1 kPa, with each subsystem operating within ist own rated temperature range; payload-specific operating limits are captured in MR-010.";"Expected stratospheric environment: temperature decreases with altitude; pressure ~1 kPa at 30 km";Analysis + Test;"Component datasheet review for temperature/pressure ratings; thermal chamber test if available";All
MR-008;The total flyable system mass shall not exceed 650 grams.;Total flyable mass;Examination;;All
MR-009;The system shall host an on-board Edge-TPU ML payload that autonomously runs inference and delivers structured output to the OBC at 1 Hz within its own power and thermal envelope, without affecting the primary mission.;On-board edge-ML inference within the 1U envelope is the project's primary demonstrated contribution. The payload's 0 °C floor (set by the TPU and memory) is far warmer than the rest of the stack, so it is scoped to the payload and does not bound other subsystems or MR-007.;Test + Analysis;"Both models (see payload PoC documentation) output to the OBC at 1 Hz; payload stays above 0 °C with no throttle while other subsystems verify to their own ranges per MR-007; power within IF-009/PR-008; output verifiable against ground truth (FSM, SD frames) at documented accuracy.";Payload
;;;;;
Functional Requirements;;;;;
FR-001;The OBC shall provide at least one (1) I2C buses for sensor interfaces.;Enables connection of multiple I2C devices (IMU, barometer) individually accessed through their unique address.;Examination;Verify STM32 configuration shows ≥1 I2C peripherals enabled;OBC
FR-002;The OBC shall provide at least one (1) SPI bus for high-speed peripheral communication.;Required for SD card data logging and LoRa module communication;Examination;Verify STM32 configuration shows ≥1 SPI peripheral enabled;OBC
FR-003;The OBC shall provide at least one (1) UART interface for GPS communication.;GPS module communicates via UART protocol with NMEA sentence output;Examination;Verify STM32 configuration shows ≥1 UART peripheral enabled;OBC
FR-004;The FSW shall implement a finite state machine with six (6) distinct states corresponding to mission phases.;"Structured approach to autonomous phase management; ensures deterministic behavior";Test;Unit test verifying all six states are implemented and reachable;FSW
FR-005;The FSW shall transition from Standby to Launch state when vertical acceleration exceeds 1.5g for at least two (2) consecutive seconds.;"Detects balloon release; threshold avoids false triggers from ground handling vibrations";Test;"Simulate acceleration input; verify transition occurs within 5 seconds of threshold";FSW
FR-006;The FSW shall transition from Launch to Ascent state when altitude exceeds 100 meters AND vertical velocity exceeds 5 m/s.;"Confirms sustained ascent after initial launch transient; dual condition prevents false transitions";Test;"Simulate altitude and velocity inputs; verify both conditions required for transition";FSW
FR-007;The FSW shall transition from Ascent to Cruise state when altitude rate of change is less than 0.5 m/s for at least thirty (30) consecutive seconds.;Detects stabilization at float altitude when balloon expansion ceases;Test;"Simulate altitude plateau; verify 30-second stability window required";FSW
FR-008;The FSW shall transition from Cruise to Descent state when altitude rate of change is less than -2 m/s for at least ten (10) consecutive seconds.;"Detects balloon burst and descent initiation; negative rate threshold confirms downward motion";Test;"Simulate descent rate; verify 10-second confirmation window";FSW
FR-009;The FSW shall transition from Descent to Landing state when GPS velocity is less than 1 m/s AND altitude is less than 200 meters for at least five (5) consecutive seconds.;"Detects final landing with combined velocity and altitude check; avoids false triggers during descent";Test;"Simulate landing conditions; verify both conditions met for ≥5 seconds";FSW
FR-010;The FSW shall persist the current flight phase state to non-volatile memory within one (1) second of any state transition.;Enables phase recovery after unexpected power cycle or system reset during flight;Test;"Power cycle system during each phase; verify correct phase restored after reboot in 6/6 test cases";FSW
